movie,Bechdel_test
Certain Women,pass
The Choice,pass
Christine,pass
Collateral Beauty,nopass
Colossal,nopass
The Conjuring 2,pass
Contratiempo,nopass
Courier X,nopass
Criminal,pass
"Crouching Tiger, Hidden Dragon: Sword of Destiny",pass
Dad's Army,pass
Dangal,pass
The Darkness,nopass
Deadpool,nopass
Dear Eleanor,pass
Deepwater Horizon,nopass
Demain tout commence,pass
Denial,pass
Dernieres nouvelles du cosmos,pass
Die letzte Sau,nopass
Dirty 30,pass
Dirty Grandpa,nopass
The Divergent Series: Allegiant,pass
Divines,pass
Doctor Strange,nopass
Don't Breathe,pass
Don't Hang Up,nopass
Don't Think Twice,pass
Doukyuusei,nopass
The Dragon Spell,nopass
The Duel,nopass
The Eagle Huntress,nopass
Eddie the Eagle,nopass
The Edge of Seventeen,pass
El Olivo,pass
Electra Woman and Dyna Girl,pass
Elle,pass
Elvis & Nixon,nopass
Equity,pass
Everybody Wants Some,nopass
Extremis,pass
Fai bei sogni,nopass
Fantastic Beasts and Where to Find Them,pass
Fences,pass
Final Fantasy XV,pass
Finding Dory,pass
The Finest Hours,pass
First Girl I Loved,pass
Florence Foster Jenkins,pass
The Forest,pass
Free Fire,nopass
Free State of Jones,nopass
Friend Request,pass
The Fundamentals of Caring,pass
Gantz: O,nopass
Ghostbusters,pass
The Girl on the Train,pass
The Girl with All the Gifts,pass
Gods of Egypt,nopass
Grüße aus Fukushima (Greetings from Fukushima),pass
Grease Live!,pass
The Great Wall,nopass
Hacksaw Ridge,nopass
"Hail, Caesar!",nopass
Hairspray Live!,pass
The Handmaiden (Ah-ga-ssi),pass
Handsome Devil,nopass
Hardcore Henry,nopass
Hated in the Nation,pass
Hell or High Water,nopass
Hidden Figures,pass
High Strung,nopass
Hounds of Love,pass
House on Willow Street,pass
How to Be Single,pass
Hunt for the Wilderpeople,pass
The Huntsman: Winter's War,pass
Hurricane Bianca,pass
Hush,pass
I Am the Pretty Thing That Lives in the House,pass
I Had a Bloody Good Time at House Harker,nopass
I'm Not Ashamed,pass
"I, Daniel Blake",pass
Ice Age: Collision Course,pass
Ice Fantasy,pass
In a Valley of Violence,nopass
Independence Day: Resurgence,pass
Inferno,nopass
The Infiltrator,pass
It's Only the End of the World,pass
Jack Reacher: Never Go Back,pass
Jackie,pass
Jane Got a Gun,nopass
Jason Bourne,nopass
Julieta,pass
The Jungle Book,nopass
Justice League vs. Teen Titans,pass
Keanu,pass
Keeping Up with the Joneses,pass
Kill Command,nopass
Kimi no na wa.,pass
King Dave,nopass
King of the Dancehall,nopass
Koe no katachi,nopass
Kubo and the Two Strings,nopass
Kung Fu Panda 3,pass
L'età d'oro,nopass
La La Land,pass
La pazza gioia,pass
The Legend of Tarzan,nopass
Les innocentes,pass
Let Me Go,pass
Liberty's Secret,pass
The Light Between Oceans,pass
Lights Out,pass
Linefork,pass
Lion,nopass
Little Door Gods,pass
Little Sister,pass
Live by Night,nopass
Locos de Amor,nopass
The Lost City of Z,nopass
Love & Friendship,pass
The Love Witch,pass
Lovesong,pass
Loving,pass
Ma revolution,pass
magnificent 7,nopass
Manchester by the Sea,pass
Marauders,nopass
Martyrs,pass
Masterminds,pass
Maudie,pass
Me Before You,pass
Meet the Blacks,pass
Middle School: The Worst Years of My Life,pass
