movie,Bechdel_test
Planes: Fire & Rescue,nopass
Pompeii,pass
Praia do Futuro,nopass
Predestination,pass
Pride,pass
Primero De Enero,pass
Project Almanac,pass
The Purge: Anarchy,pass
Qu'est-ce qu'on a fait au Bon Dieu?,pass
Queen,pass
The Quiet Hour,pass
The Quiet Roar,pass
Ragamuffin,nopass
The Red Tent,pass
Relatos salvajes,pass
Respire,pass
"Rico, Oskar und die Tieferschatten",nopass
Ride Along,nopass
Rio 2,pass
The Riot Club,nopass
River of Fundament,pass
Robocop,nopass
Rosewater,nopass
The Rover,nopass
Sabotage,pass
Sadilishteto,nopass
Saint Seiya: Legend of Sanctuary,nopass
The Salvation,nopass
The Scribbler,pass
Search Party,nopass
Selma,pass
Seventh Son,pass
Sex Ed,pass
Sharknado 2: The Second One,pass
She's Funny That Way,pass
Sin City: A Dame to Kill For,nopass
The Single Moms Club,pass
The Skeleton Twins,pass
Someone Marry Barry,nopass
"Something, Anything",pass
Son of Batman,nopass
Song of the Sea,pass
Sora no Otoshimono Final: Eternal My Master,nopass
Spring,nopass
St. Vincent,pass
Starving in Suburbia,pass
Step Up All In,nopass
Still Alice,pass
Still the Water,pass
Stretch,nopass
Suite francaise,pass
Taken 3,nopass
The Taking of Deborah Logan,pass
Tammy,pass
Teenage Mutant Ninja Turtles,pass
The Tempest,pass
That Awkward Moment,pass
Thegidi,nopass
The Theory of Everything,pass
They Came Together,pass
This Is Where I Leave You,nopass
Tinker Bell and the Legend of the NeverBeast,pass
Top Five,pass
The Town That Dreaded Sundown,pass
Transcendence,nopass
Transformers: Age of Extinction,pass
Trash,nopass
Treehouse,pass
Tu Dors Nicole,pass
Turist,pass
"Two Days, One NIght",pass
The Two Faces of January,pass
Two Night Stand,pass
Unbroken,nopass
Under the Skin,nopass
Une nouvelle amie,nopass
Unfriended,pass
Unutursam Fısılda,nopass
Vampire Academy,pass
Ventos de Agosto,pass
Verden venter,pass
Veronica Mars,pass
Viharsarok,nopass
Walk of Shame,pass
Welcome to Me,pass
What We Did on Our Holiday,pass
What We Do in the Shadows,nopass
When the Game Stands Tall,nopass
While We're Young,pass
Whiplash,nopass
White Bird in a Blizzard,pass
Who Am I - Kein System ist sicher,nopass
Wicked Blood,pass
Wild,pass
Winter's Tale,pass
Wir sind die Neuen,pass
Wish I Was Here,pass
The Woman in Black 2: Angel of Death,pass
Women Aren't Funny,pass
Wyrmwood: Road of the Dead,pass
X-Men: Days of Future Past,nopass
You're Not You,pass
Young Ones,nopass
Yves Saint Laurent,nopass
Zero Motivation,pass
Zombeavers,pass
+1,pass
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,nopass
12 Years a Slave,pass
138 segons. L'enigma Girones,nopass
2 Guns,nopass
20 Feet from Stardom,pass
21 & Over,nopass
300 Worte Deutsch,pass
3096 Tage,pass
42,nopass
47 Ronin,nopass
52 Tuesdays,pass
A Case of You,pass
A Field in England,nopass
A Good Day to Die Hard,nopass
A Haunted House,pass
A Haunting at Silver Falls,pass
A Picture of You,pass
A Talking Cat!?!,pass
A Teacher,pass
About Time,pass
Admission,pass
Adult World,pass
After Earth,nopass
Afternoon Delight,pass
Alan Partridge: Alpha Papa,pass
All Cheerleaders Die,pass
All is Lost,nopass
American Hustle,pass
Amiche da morire,pass
An Easter Bunny Puppy,pass
Anchorman 2: The Legend Continues,pass
And Now a Word from Our Sponsor,pass
Angélique,pass
Another Me,pass
Are You Here,pass
Ashley,pass
Ass Backwards,pass
At Middleton,pass
August: Osage County,pass
Austenland,pass
Bad Words,nopass
Baggage Claim,pass
Barbie & Her Sisters in a Pony Tale,pass
Barbie and the pink shoes,pass
Bayonetta: Bloody Fate,pass
Beautiful Creatures,pass
Before Midnight,pass
Behind the Candelabra,nopass
Beltracchi: The Art of Forgery,nopass
Bends,pass
Beneath,nopass
Best Friends Forever,pass
The Best Man Holiday,pass
Best Night Ever,pass
The Best Offer,nopass
Bicycling with Molière,nopass
The Big Wedding,pass
Birdemic 2: The Resurrection,pass
Blackfish,pass
The Bling Ring,pass
Blue Is the Warmest Color,pass
Blue Jasmine,pass
Blue Ruin,pass
The Book Thief,pass
Bounty Killer,pass
The Boy and the World,nopass
The Call,pass
Camille Claudel 1915,pass
Captain Battle: Legacy War,pass
Captain Phillips,nopass
Carrie,pass
Casse-tete chinois,pass
CBGB,nopass
Cheap Thrills,nopass
Christmas in the City,pass
Clear History,nopass
Closed Circuit,nopass
Cloudy with a Chance of Meatballs 2,pass
Coherence,pass
The Colony,nopass
Computer Chess,nopass
Concussion,pass
The Congress,pass
The Conjuring,pass
Contracted,pass
The Counselor,pass
The Croods,pass
The Crown and the Dragon,pass
Crystal Fairy & the Magical Cactus and 2012,pass
Curse of Chucky,pass
Cutie and the Boxer,nopass
Dallas Buyers Club,pass
Dark Skies,nopass
Dark Touch,pass
The Day of the Doctor,pass
Dead Man Down,pass
Decoding Annie Parker,pass
Delivery Man,nopass
The Den,pass
Despicable Me 2,pass
Devil's Pass,pass
The Devil's Violinist,pass
The Dirties,pass
Disconnect,nopass
Don Jon,pass
The Double,nopass
Down River,pass
Dragon Ball Z: Battle of Gods,pass
Dragon Lore: Curse of the Shadow,nopass
Drinking Buddies,pass
The East,pass
Ego,nopass
Elle s'en va,pass
Elysium,pass
Ender's Game,nopass
Enemy,nopass
Enough Said,pass
Epic,pass
Escape from Planet Earth,pass
Escape Plan,nopass
Europa Report,pass
Evil Dead,pass
Exit Marrakech,nopass
Fack ju Gohte,pass
Fading Gigolo,nopass
The Fall,pass
Family Weekend,pass
The Family,pass
Faroeste caboclo,pass
Fast and Furious 6,pass
The Fifth Estate,nopass
Filth,nopass
Finding Mr. Right,nopass
Finsterworld,nopass
First Period,pass
Flores Raras,pass
For Elisa,pass
Frankenstein's Army,nopass
Freier Fall,nopass
Frequencies,pass
Frozen,pass
The Frozen Ground,pass
Fruitvale Station,pass
Future Shift,pass
G.B.F.,pass
G.I. Joe: Retaliation,pass
Gabrielle,pass
Gam-si-ja-deul,pass
The Gamers: Hands of Fate,pass
Gangster Squad,nopass
Gekijouban Hakuouki: Daiisshou Kyouto ranbu,nopass
Gekijouban Steins;Gate: Fuka ryouiki no dejavu,pass
Geography Club,pass
The German Doctor,pass
Gimme Shelter,nopass
Girl Most Likely,pass
Gloria,pass
Go for Sisters,pass
Grace Unplugged,pass
The Grand Seduction,nopass
The Grandmaster,nopass
Gravity,nopass
The Great Gatsby,pass
Grown Ups 2,nopass
Hammer of the Gods,nopass
The Hangover part 3,nopass
Hannas Reise,pass
Hansel & Gretel,pass
Hansel & Gretel: Witch Hunters,pass
Hansel and Gretel Get Baked,pass
Haunt,pass
Haunter,pass
Haute Cuisine,pass
The Heat,pass
Hemlock Grove,pass
Her,nopass
The Hit Girl,pass
The Hobbit: The Desolation of Smaug,pass
Homefront,nopass
Horns,pass
The Host,pass
The Hot Flashes,pass
House of Cards,nopass
How I Live Now,pass
Hross i oss,pass
The Hunger Games: Catching Fire,pass
I Give it a Year,pass
I Used to Be Darker,pass
I'm So Excited,nopass
Ida,pass
Identity Thief,nopass
The Immigrant,pass
In a World...,pass
In Fear,nopass
The Incredible Burt Wonderstone,nopass
Inside Llewyn Davis,nopass
Insidious: Chapter 2,nopass
Instructions Not Included,pass
Interior. Leather Bar.,nopass
The Internship,nopass
The Invisible Woman,pass
Iron Man 3,pass
Is the Man Who Is Tall Happy?,nopass
Jack and the Cuckoo-Clock Heart,pass
Jack the Giant Slayer,nopass
Jeune & jolie,pass
Jug Face,pass
Jurassic Attack,nopass
Justice Is Mind,pass
Justice League: The Flashpoint Paradox,nopass
Karlek deluxe,pass
Kaze tachinu,pass
Kick-Ass 2,pass
Kill for Me,pass
Kill Your Darlings,nopass
Killing Season,nopass
The Kings of Summer,nopass
Knights of Badassdom,pass
Kyss meg for faen i helvete,pass
L'amour est un crime parfait,nopass
L'ecume des jours,pass
La grande bellezza,pass
La jaula de oro,nopass
La Venus a la fourrure,nopass
The Last Exorcism Part II,pass
The Last Keepers,pass
The Last of Robin Hood,pass
Last Passenger,pass
The Last Stand,nopass
Last Vegas,nopass
Le Passé,pass
Le week-end,nopass
Lee Daniels' The Butler,pass
Legends of Oz: Dorothy's Return,pass
"Les garcons et Guillaume, a table!",nopass
Les Reines du Ring (English: Wrestling Queens),pass
Life Inside Out,pass
The Lifeguard,pass
Locke,nopass
The Lone Ranger,nopass
Lone Survivor,nopass
The Look of Love,pass
Lost Angel,nopass
Lost In Living,pass
Love & Air Sex,pass
The Love Punch,pass
Lovelace,pass
Lucia,pass
The Lunchbox,pass
Machete Kills,pass
The Machine,pass
Madoka Magica: Rebellion Story,pass
Maidentrip,pass
Mama,pass
Man of Steel,pass
Man of Tai Chi,pass
Mandela: Long Walk to Freedom,nopass
Maron,nopass
Mary and Martha,pass
Meine Schwestern,pass
Michael Kohlhaas,nopass
Minha Mae e uma Peca: O Filme,pass
Mobius,pass
Monster Pies,nopass
Monsters University,nopass
The Mortal Instruments: City of Bones,pass
Moving Mountains,pass
Mt. Zion,nopass
Mud,nopass
My Little Pony: Equestria Girls,pass
My mad fat diary,pass
Nashorn im Galopp,nopass
Nazotoki wa Dinner no Ato de (The After-Dinner Mysteries),nopass
Nebraska,pass
Night Train to Lisbon,nopass
Now You See Me,nopass
The Numbers Station,nopass
Nymphomaniac: Volume 1,pass
Nymphomaniac: Volume 2,pass
O Tempo e o Vento,pass
Oblivion,pass
Odd Thomas,pass
Oldboy,nopass
Olympus Has Fallen,nopass
Once Upon a Time in Vietnam,nopass
Only God Forgives,pass
Only Lovers Left Alive,pass
Open Road,pass
Orphan Black,pass
Out of the Furnace,nopass
Oz the Great and Powerful,pass
Pacific Rim,nopass
Pain & Gain,nopass
Palo Alto,pass
Parker,pass
Particle Fever,pass
Pasadena,pass
Patema Inverted,nopass
Peeples,pass
Percy Jackson: Sea of Monsters,pass
Perfect Mothers,pass
Persona 3 the Movie: #1 Spring of Birth,pass
Philomena,pass
The Physician,nopass
Planes,nopass
Plush,pass
Pozitia copilului,pass
The Pretty One,pass
Prince Avalanche,nopass
The Princess Twins of Legendale,pass
Prisoners,pass
Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,pass
The Punk Singer,pass
The Purge,pass
R.I.P.D.,nopass
The Railway Man,nopass
rastres de sándal,pass
Red 2,pass
Remember Sunday,pass
The Returned,pass
Rewind,nopass
Riddick,nopass
Riley Rewind,pass
Ronny,nopass
Runner Runner,nopass
Rush,nopass
RWBY,pass
Sadako 3D 2,pass
Safe Haven,pass
Saige Paints the Sky,pass
Saving Mr. Banks,pass
The Secret Life of Walter Mitty,pass
The Selfish Giant,nopass
Sharknado,pass
She Made Them Do It,nopass
Short Term 12,pass
Side Effects,pass
The Sisters Plotz,pass
Skinwalker Ranch,nopass
Sleeping with the Fishes,pass
The Smurfs 2,pass
Snowpiercer,pass
Some Girl(s),nopass
"Soshite chichi ni naru (Like Father, Like Son)",pass
The Spectacular Now,nopass
Stalingrad,nopass
Star Trek Into Darkness,nopass
The Starving Games,pass
Still Life,nopass
Stoker,pass
Stranger by the Lake,nopass
Summer League,pass
Sunshine on Leith,pass
Suzanne,pass
Svecenikova djeca,nopass
The Tale of The Princess Kaguya,pass
Tangerines,nopass
Teen Beach Movie,pass
Texas Chainsaw 3D,pass
Thanks for Sharing,nopass
This Is the End,nopass
Thor: The Dark World,pass
Tim's Vermeer,nopass
The Time in Between,nopass
The To Do List,pass
Touchy Feely,pass
Tracks,pass
Trance,nopass
Trap for Cinderella,pass
The Truth About Emanuel,pass
Turbo,pass
Uitgesproken,nopass
UMMAH - Unter Freunden,nopass
Upstream Color,nopass
V/H/S/2,pass
Vai que da Certo,nopass
Very Good Girls,pass
Vi ar bast!,pass
Vikings,pass
Vino Veritas,pass
Viva la liberta,nopass
The Vivian Maier Mystery,pass
Vivir es facil con los ojos cerrados,nopass
Wadjda,pass
Warm Bodies,nopass
Wastelands,nopass
The Way Way Back,pass
We Are What We Are,pass
We're the Millers,pass
Welcome to the Punch,nopass
Wetlands,pass
What If,pass
White Bear,pass
White House Down,nopass
White Lies,pass
The Wine of Summer,pass
Witching and Bitching,pass
The Wolf of Wall Street,pass
The Wolverine,pass
Words and Pictures,pass
World War Z,pass
The World's End,nopass
Wrong Cops,nopass
Xi you xiang mo pian (Journey to the West),nopass
Yeh Jawaani Hai Deewani,pass
Yip Man: Jung gik yat jin,pass
The Young and Prodigious T.S. Spivet,pass
Young Detective Dee: Rise of the Sea Dragon,nopass
The Zero Theorem,nopass
Zipi y Zape y el club de la canica,nopass
Zombie Hunter,pass
"Zoran, il mio nipote scemo",nopass
Zum Geburtstag,nopass
2 Coelhos,nopass
2 Days in New York,pass
21 Jump Street,nopass
A Halloween Puppy,nopass
A Late Quartet,pass
A Royal Affair,pass
A Thousand Words,nopass
About Cherry,pass
Abraham Lincoln: Vampire Hunter,pass
Act of Valor,nopass
Ahi va el diablo,pass
Ali has blue eyes,nopass
Alien Tornado,pass
All I Want Is Everything,pass
The Amazing Spider-Man,nopass
American Mary,pass
American Warships,pass
Amour,pass
The Angels' Share,nopass
Anna Karenina,nopass
Any Questions for Ben?,nopass
Arachnoquake,pass
Arbitrage,nopass
Argo,pass
As High as the Sky,pass
Asterix and Obelix: God Save Britannia,nopass
Attack of the 50ft Cheerleader,pass
Augustine,pass
Aurora,nopass
The Avengers,nopass
Bachelorette,pass
Bad Parents,pass
Barbara,pass
Barfi!,nopass
"Batman: The Dark Knight Returns, part 1",pass
Battleship,nopass
The Bay,nopass
BearCity 2: The Proposal,pass
Beasts of the Southern Wild,pass
Being Flynn,nopass
Berberian Sound Studio,nopass
Best Man Down,pass
Beyond the Hills,pass
Big Miracle,pass
Bikini Spring Break,pass
Bindlestiffs,pass
Bitchkram,pass
Black Rock,pass
Bletchley Circle,pass
Blood Fare,nopass
Blue Lagoon: The Awakening,pass
Blue Like Jazz,pass
The Body,pass
The Bourne Legacy,pass
The Brass Teapot,pass
Brave,pass
The Broken Circle Breakdown,pass
Bullet to the Head,nopass
Byzantium,pass
Call Girl,pass
Call Me Kuchu,pass
The Campaign,nopass
Celeste and Jesse Forever,pass
Cheesecake Casserole,pass
Chernobyl Diaries,nopass
Chronicle,nopass
Cigarette Ki Tarah,pass
Citadel,nopass
The Citizen,nopass
Cloud Atlas,pass
Cockneys vs Zombies,nopass
Cocktail,pass
Comes a Bright Day,nopass
The Company You Keep,nopass
Compliance,pass
Contraband,pass
Cosmopolis,nopass
Croczilla,nopass
Cybergeddon,pass
Dabangg 2,nopass
Dans la maison,pass
The Dark Knight Rises,nopass
Dark Shadows,pass
Das Leben ist nichts fur Feiglinge,pass
Das Wochenende,pass
Dead Man's Burden,nopass
Decay,pass
Den skaldede frisor,pass
Despues de Lucia,pass
The Devil Inside,pass
The Devil's Carnival,nopass
Diary of a Wimpy Kid: Dog Days,pass
The Dictator,nopass
Die Wand,nopass
Django Unchained,nopass
Djupid,nopass
The Door,pass
Dredd 3D,pass
Dripping in Chocolate,pass
Eega,nopass
Electrick Children,pass
Elementary,pass
End of Watch,pass
English Vinglish,pass
Entity,pass
Entrance,pass
Erased,nopass
Ernest & Celestine,nopass
Escape Fire: The Fight to Rescue American Healthcare,pass
Evangelion: 3.0 You Can (Not) Redo,pass
Excision,pass
The Expendables 2,pass
Extracted,nopass
The Factory,pass
Fast Girls,pass
Fat Kid Rules the World,nopass
Fin,pass
The Five-Year Engagement,pass
Flight,pass
Flukt,pass
"For a Good Time, Call...",pass
Foreign Letters,pass
Four Assassins,nopass
Frances Ha,pass
Frankenweenie,nopass
Future Weather,pass
Gambit,nopass
Game Change,pass
Gayby,pass
The Giant Mechanical Man,pass
Ginger and Rosa,pass
Girl in Progress,pass
Girl Vs. Monster,pass
Golden Winter,nopass
Gone,pass
Good Vibrations,pass
Goodbye,pass
Grabbers,pass
Greetings from Tim Buckley,nopass
The Grey,nopass
The Guilt Trip,pass
Gyo,pass
Halo 4: Forward Unto Dawn,pass
Hannah Arendt,pass
Hannibal,pass
The Happy Caterpillars,nopass
The Haunting of Whaley House,pass
Hemingway & Gellhorn,nopass
Heruta sukeruta,pass
The History of Future Folk,nopass
Hit and Run,pass
Hitchcock,nopass
The Hobbit: An Unexpected Journey,nopass
Holy Motors,nopass
Hope Springs,pass
Hotel Transylvania,pass
House at the End of the Street,pass
The Hunger Games,pass
Hyde Park on Hudson,nopass
I Belong,pass
Ice Age: Continental Drift,nopass
If I Were You,pass
Ill Manors,pass
The Impossible,nopass
In The Dark Half,pass
Inch'Allah,pass
Interview with a Hitman,nopass
Iron Sky,pass
It's a Disaster,pass
Jack and Diane,pass
Jack Reacher,nopass
Jackie,pass
Jagten,nopass
Jayne Mansfield's Car,pass
John Carter,pass
John Dies at the End,nopass
Journey 2: The Mysterious Island,nopass
Journey to the Christmas Star,pass
Kahaani,pass
Kapringen,nopass
The Key and the Frame,pass
Kill 'em All,nopass
Killer Joe,nopass
Killing Them Softly,nopass
Kiss of the Damned,pass
Klip,pass
Ko-ri-a,pass
Kon-Tiki,nopass
L'enfant d'en haut,nopass
La cinquieme saison,pass
Lake Effects,pass
Last Stop: Kurtulus,pass
Lawless,nopass
Le grand soir,nopass
Le prenom,pass
Les Miserables,pass
Liberal Arts,nopass
Life of Pi,nopass
Lincoln,pass
The Lizzie Bennet Diaries,pass
Lola Versus,pass
Looper,nopass
The Lorax,nopass
The Lords of Salem,pass
Lore,pass
The Lucky One,pass
Madagascar 3: Europe's Most Wanted,nopass
Magic Mike,pass
The Magic of Belle Isle,pass
The Making of a Lady,pass
Man on a Ledge,nopass
The Man with the Iron Fists,nopass
The Master,nopass
Men in Black III,nopass
Mental,pass
Mine Games,pass
Mirror Mirror,pass
Monster High: Ghoul's Rule,pass
Moonrise Kingdom,pass
Morgana,pass
Mosquita y Mari,pass
Much Ado About Nothing,pass
Neighboring Sounds,pass
No,nopass
Not Fade Away,pass
Now Is Good,pass
The Occupants,nopass
The Odd Life of Timothy Green,pass
Oh Boy,nopass
Okami kodomo no ame to yuki,pass
One for the Money,pass
Out in the Dark,nopass
The Pact,pass
Papadopoulos & Sons,nopass
The Paperboy,pass
Paradies: Liebe,pass
Paranormal Activity 4,pass
ParaNorman,pass
Parental Guidance,pass
Paris-Manhattan,pass
Passion,pass
Paulette,pass
People Like Us,pass
The Perks of Being a Wallflower,pass
The Pirates! Band of Misfits,nopass
Pitch Perfect,pass
The Place Beyond the Pines,nopass
Populaire,pass
The Possession,pass
Premium Rush,pass
Price Check,pass
Privacy,pass
Project X,nopass
Prometheus,pass
Quartet,pass
Qwerty,pass
Radio Rebel,pass
The Raven,nopass
Red Dawn,nopass
Red Tails,nopass
Renoir,pass
Resident Evil: Retribution,pass
Rise of the Animals,pass
Rise of the Guardians,nopass
Robot & Frank,nopass
Rock Jocks,nopass
Rock of Ages,pass
Ruby Sparks,pass
Ruroni Kenshin: Meiji kenkaku roman tan,pass
Sadako 3D,pass
Safe,nopass
Safety Not Guaranteed,pass
The Sapphires,pass
Sassy Pants,pass
Savages,pass
Save the Date,nopass
The Seasoning House,pass
Seeking a Friend for the End of the World,nopass
The Sessions,nopass
Seven Psychopaths,nopass
Shadow Dancer,pass
Shelter,pass
Sightseers,pass
Silence,nopass
Silent Hill: Revelation 3D,pass
Silver Linings Playbook,pass
Sinister,nopass
The Skinny,pass
Skyfall,pass
Sleepwalk With Me,nopass
Smashed,pass
Smiley,pass
Snackbar,nopass
Snow Queen,pass
Snow White,pass
Snow White and the Huntsman,pass
So Undercover,pass
Sparkle,pass
Spring Breakers,pass
Starlet,pass
Stars Above,pass
Steel Magnolias,pass
Step Up Revolution,pass
Stories We Tell,pass
Strike Witches - The Movie,pass
Struck by Lightning,pass
Stuck in Love,pass
Superman vs. The Elite,nopass
Supporting Characters,nopass
Sushi Girl,nopass
The Swing,pass
Tabu,pass
Tad: The Lost Explorer,nopass
Taken 2,nopass
The Tall Man,pass
Tango libre,nopass
Tears of Steel,nopass
Ted,nopass
That's My Boy,nopass
Think Like a Man,pass
This Is 40,pass
This Means War,nopass
Tiger Eyes,pass
Tim and Eric's Billion Dollar Movie,nopass
Tinkerbell and the Secret of the Wings,pass
To Rome With Love,nopass
To the Wonder,pass
Total Recall,nopass
Travelling Salesman,nopass
The Twilight Saga: Breaking Dawn - Part 2,pass
Underworld: Awakening,pass
V/H/S,nopass
Vamps,pass
Vattnet,nopass
Violine,nopass
The Vow,pass
Wanderlust,pass
Warpaint,nopass
The Watch,nopass
What Maisie Knew,pass
What to Expect When You're Expecting,pass
White Alligator,pass
Why Stop Now?,pass
Wireboy,nopass
The Woman in Black,nopass
Women's Day (Dzien kobiet),pass
Won't Back Down,pass
The Words,nopass
Would You Rather,pass
Wrath of the Titans,nopass
Wreck-It Ralph,pass
Zero Dark Thirty,pass
[REC]3 Genesis,pass
Á annan veg,nopass
11 Flowers,pass
12 Dates of Christmas,pass
17 Girls,pass
17 Miracles,pass
30 Minutes or Less,nopass
50/50,nopass
A 2nd Chance,pass
A Dangerous Method,pass
A Happy Event,pass
A Little Bit of Heaven,pass
A Lonely Place to Die,pass
A Separation,pass
A Simple Life,pass
A torinoi lo,nopass
A tus espaldas,pass
A Very Harold & Kumar 3D Christmas,nopass
Abduction,nopass
About Sunny,pass
Absentia,pass
The Adjustment Bureau,pass
The Adventures of Tintin,nopass
Age of the Dragons,nopass
Alamanya,pass
Albatross,pass
Albert Nobbs,pass
Alien Armageddon,pass
Aliens vs. Avatars,pass
All Superheroes Must Die,nopass
Alps,pass
Alvin and the Chipmunks: Chipwrecked,pass
Alyce Kills,pass
Amber Lake,pass
And if we all live together,nopass
Another Earth,pass
Another Happy Day,pass
Apart,pass
Apartment 143,pass
Apollo 18,nopass
The Art of Getting By,nopass
Arthur,nopass
Arthur Christmas,nopass
The Artist,nopass
Atlas Shrugged: Part I,pass
Attack the Block,pass
Attenberg,pass
Au cul du loup,pass
The Awakening,pass
Bad Teacher,pass
Barbie: Princess Charm School,pass
Batman: Year One,pass
Battle: Los Angeles,nopass
Beastly,nopass
Bernie,nopass
The Best Exotic Marigold Hotel,pass
The Big Year,nopass
Black Butterflies,pass
Black Gold,nopass
The Black Power Mixtape 1967-1975,pass
Blackthorn,nopass
Blue Crush 2,pass
Bridesmaids,pass
Butter,pass
The Cabin in the Woods,pass
Cafe de Flore,pass
The Caller,pass
Captain America: The First Avenger,nopass
The Captains,nopass
Carnage,pass
Cars 2,nopass
Catch .44,pass
Catch Me... I'm in Love,nopass
Catwoman,pass
Cedar Rapids,nopass
Chalet Girl,pass
The Change-Up,nopass
Circumstance,pass
Cloudburst,pass
Codependent Lesbian Space Alien Seeks Same,pass
Colombiana,nopass
Combat Girls,pass
Conan the Barbarian,pass
Contagion,pass
Coriolanus,nopass
Coup d'éclat,pass
Courageous,pass
Cowboys & Aliens,nopass
The Craiglist Killer,pass
"Crazy, Stupid, Love.",pass
Cyberbully,pass
Damsels in Distress,pass
The Darkest Hour,pass
The Dead Inside,nopass
Dead Space: Aftermath,nopass
The Decoy Bride,pass
The Deep Blue Sea,pass
The Descendants,pass
Detachment,pass
Detention,pass
Deus Ex Human Revolution,pass
Diary of a Wimpy Kid: Rodrick Rules,nopass
The Dilemma,nopass
The Divide,pass
Dolphin Tale,nopass
Donovan's Echo,nopass
Dorfman in Love,pass
The Double,nopass
Dream House,pass
Drengen der ikke kunne svomme,nopass
Drive,pass
The Eagle,nopass
Eva,pass
Exit Humanity,pass
Extremely Loud & Incredibly Close,nopass
Faces in the Crowd,pass
Familiar Grounds,nopass
Fast Five,pass
Faust,nopass
Final Destination 5,nopass
Fjellet,pass
Flypaper,pass
Footloose,pass
Footnote,nopass
The Forgiveness of Blood,pass
Found Memories (Historias que so existem quando lembradas),pass
Free Men,nopass
French Immersion,pass
Friends with Benefits,pass
Friends with Kids,pass
Fright Night,pass
From Prada to Nada,pass
From Up on Poppy Hill,pass
The Future,pass
Gantz: Perfect Answer,nopass
Ghost Rider: Spirit of Vengeance,nopass
Girl Walks Into a Bar,pass
The Girl with the Dragon Tattoo,nopass
Gnomeo & Juliet,pass
The Good Doctor,pass
Goon,nopass
Gosick,pass
Grave Encounters,nopass
The Green Hornet,nopass
Green Lantern,nopass
The Guard,nopass
Hall Pass,nopass
The Hangover Part 2,nopass
Hanna,pass
Hara-Kiri: Death of a Samurai,nopass
Harry Potter and the Deathly Hallows: Part 2,pass
Hasta la Vista,nopass
Haywire,nopass
Headhunters,nopass
Hell,pass
The Help,pass
Hesher,nopass
Hick,pass
The Hidden Face,nopass
Higher Ground,pass
Himizu,pass
Hobo with a Shotgun,nopass
Hoodwinked Too! Hood vs. Evil,pass
Hop,nopass
Horrible Bosses,pass
House of Tolerance,pass
Hugo,pass
The Human Centipede II (Full Sequence),nopass
The Hunter,pass
Hysteria,pass
I Am Nasrine,pass
I Am Number Four,nopass
I Don't Know How She Does It,pass
Ides Of March,nopass
Immortals,nopass
In Time,nopass
The Inbetweeners Movie,nopass
The Innkeepers,pass
Inventory,pass
Iris,pass
The Iron Lady,pass
Ironclad,nopass
Jack and Jill,pass
Jackpot (Arme Riddere),nopass
Jamie and Jessie Are Not Together,pass
Jane Eyre,pass
"Jeff, Who Lives at Home",pass
Jin ling shi san chai,pass
Jiro Dreams of Sushi,nopass
Joe and Belle,pass
Johnny English Reborn,pass
Juan of the Dead,nopass
Jumping the Broom,pass
Just Go with It,pass
K-ON! Movie,pass
Kill List,pass
Killer Elite,nopass
Kiss Me,pass
Kung Fu Panda 2,pass
L!fe Happens,pass
L'amour dure trois ans,pass
L'art d'aimer,pass
La Leyenda de la Llorona,pass
Last Call at the Oasis,pass
Last Call at the Oasis,pass
Le Chat du Rabbin,pass
Le Havre,pass
Le Skylab,pass
Lemonade Mouth,pass
Les Tuche,pass
The Lie,pass
Life Without Principle,pass
Like Crazy,pass
Limitless,nopass
The Lincoln Lawyer,nopass
Little Birds,pass
The Little Engine That Could,pass
Lloyd the Conqueror,nopass
Lobos de Arga,nopass
The Loneliest Planet,nopass
Lovely Molly,pass
Margaret,pass
Margin Call,nopass
Mars Needs Moms,pass
Martha Marcy May Marlene,pass
Masks,pass
Mean Girls 2,pass
The Mechanic,nopass
Melancholia,pass
Michael,nopass
Midnight in Paris,pass
Mientras duermes,nopass
Mildred Pierce,pass
Mission: Impossible - Ghost Protocol,nopass
Mitsuko Delivers,pass
Moneyball,nopass
Monsieur Lahzar,pass
Monte Carlo,pass
Moon Point,nopass
The Moth Diaries,pass
Moy papa Baryshnikov,nopass
Mr. Popper's Penguins,nopass
The Muppets,nopass
My Piece of the Pie,pass
My Week with Marilyn,pass
New Year's Eve,pass
Nicostratos le pelican,nopass
No One Killed Jessica,pass
No Strings Attached,pass
October Baby,pass
Once upon a time in Anatolia,nopass
Once Upon a Warrior,pass
One Day,nopass
The Oranges,pass
"Oslo, 31. august",nopass
Our Idiot Brother,pass
The Outrage,nopass
Page One: Inside the New York Times,nopass
Parada,pass
Paranormal Activity 3,pass
Pariah,pass
Paul,pass
"Peace, Love, & Misunderstanding",pass
The Perfect Family,pass
Perfect Sense,pass
Phase 7,nopass
Pirates of the Caribbean: On Stranger Tides,nopass
Polisse,pass
Priest,nopass
The Princess and the Pony,pass
Prom,pass
Puss in Boots,nopass
Quarantine 2: Terminal,pass
The Raid: Redemption,nopass
Rango,nopass
Real Steel,nopass
Red Riding Hood,pass
Red State,pass
Restless,pass
Rid of Me,pass
Rio,nopass
Rise of the Planet of the Apes,nopass
The Rite,pass
Roller Town,pass
The Roommate,pass
Ruggine,pass
The Rum Diary,nopass
Rundskop,nopass
S.W.A.T.: Firefight,nopass
Salmon Fishing in the Yemen,nopass
Samsara,nopass
Sangue do Meu Sangue,pass
Saving Face,pass
Scott and Bailey,pass
